,,,,,,,,,,,
,,,,,,,,,,,
,,"
BdSL47 : Individual Results
",,,,,,,,,
,,"
Total Signs
","Σ(TP)
Sum(True Postitive) ","Σ(TN)
Sum(True Negative) ","Σ(FP)
Sum(False Postitive) ","Σ(FN)
Sum(False Negative) ",,Σ(Accuracy),Σ(F1-Score),Σ(Recall),Σ(Precision)
,,47,9197,432197,203,203,,46.95680851,45.98581392,46.02134886,45.99356886
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"
BdSL47 : Cumulative Results
",,,,,,,,
,,,Micro-Accuracy,Eq.1 : Σ(TP)+Σ(TN),,441394,Micro-Scores,Micro-Recall,Eq.5 : Σ(TP),,9197
,,,,Eq.2 : Σ(TP)+Σ(TN)+Σ(FP)+Σ(FN),,441800,,,Eq.6 : Σ(TP)+Σ(FN),,9400
,,,,Micro-Accuracy = Eq.1 / Eq.2 ,,0.9990810321,,,Micro-Recall = Eq.5 / Eq.6,,0.9784042553
,,,Micro-Precision,Eq.3 : Σ(TP),,9197,,Micro-F1-Score,Eq.7 : 2*Precision*Recall,,1.914549774
,,,,Eq.4 : Σ(TP)+Σ(FP),,9400,,,Eq. 8 : Precision+Recall,,1.956808511
,,,,Micro-Precision = Eq.3 / Eq.4,,0.9784042553,,,Micro-F1-Score = Eq.7 / Eq.8,,0.9784042553
,,,,,,,,,,,
,,,,,,,,,,,
,,,Macro-Accuracy,Eq.9 : Σ(Accuracy),,46.95680851,Macro-Scores,Macro-Recall,Eq.13 : Σ(Recall),,46.02134886
,,,,Eq.10 : Total Signs,,47,,,Eq.14 : Total Signs,,47
,,,,Macro-Accuracy = Eq.9 / Eq.10 ,,0.9990810321,,,Macro-Recall = Eq.13 / Eq.14,,0.9791776353
,,,Macro-Precision,Eq.11: Σ(Precision),,45.99356886,,Macro-F1-Score,Σ(F1-Score),,45.98581392
,,,,Eq.12 : Total Signs,,47,,,Eq. 16 : Total Signs,,47
,,,,Macro-Precision = Eq.11 / Eq.12,,0.9785865715,,,Macro-F1-Score = Eq.15 / Eq.16,,0.9784215729
